record_id,general_feeling_english,challenges_english,act_impact_english,beh_adapt_english,social_english,improvements_english,change_behavior_english,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,change_behavior
TUM_S001,"Felt uncomfortable at the start, got used to it later on.","Going out in public setting is a challenge sometimes, especially when it's too crowded.","Sports, gym, grocery shopping in a crowded place","Not much personally, but less outings with that, didn't travel as much. Lesser sports.",During my workdays in meetings.,"Maybe a P-cap, headband option would be cooler, or opting for a smaller sensor design.",NA,FALSE,"Felt uncomfortable at the start, got used to it later on.","Going out in Public setting is a challenge sometimes, especially when it's too crowded.","Sports, gym, grocery shopping in a crowded place","Not much personally, but less outings with that, didn't travel as much. Lesser sports",During my workdays in meetings,"Maybe a P-cap, headband option would be cooler, or opting for a smaller sensor design.",NA
TUM_S002,"I was motivated in the beginning but I started getting uncomfortable when I'd use the uban for daily commute or do daily life activities around grocery stores, because people would always stare.","the glasses would get blurry often and it affected vision. for example I was watching a movie over the weekend, and I had to lift up the glasses for a few seconds to improve clarity of the visuals on screen. also during work, I'd lift them up for a few seconds just to improve focus. And since I don't wear any prescription glasses, to wear something on my eyes for a prolonged period was quite challenging due to lack of adaptation.","Commute in the uban. since mostly people are sitting Infront of eachother, they get paranoid about me recording them. so far nobody explicitly called me out, only 2 or 3 people asked out of curiosity, but I realized that people must be thinking that way.",I tried limiting my daily commute.i for example went to the gym only once last week because I was concerned about people assuming that I'm violating privacy at the gym. or I shifted to working mostly from home. or ask my boyfriend to accompany me for groceries so that I feel comfortable.  Also like I said earlier the glasses would get blurry so I'd lift it often.,"if I recall correctly, 2-3 people asked me out of curiosity what I was wearing. there first question always was ""is this a camera?"". they'd sound concerned at first but when I'd tell them it's for light exposure recording, they'd ask more questions out of curiosity and appreciate the effort.","I think the sensor around neck is feasible design wise.   if you want to resume doing it on eye level, then maybe attach the light logger to a headband with velcro or a cap. this adjustment could atleast remove the discomfort of wearing glasses.",NA,FALSE,"I was motivated in the beginning but I started getting uncomfortable when I'd use the uban for daily commute or do daily life activities around grocery stores, because people would always stare.","the glasses would get blurry often and it affected vision. for example I was watching a movie over the weekend, and I had to lift up the glasses for a few seconds to improve clarity of the visuals on screen. also during work, I'd lift them up for a few seconds just to improve focus. And since I don't wear any prescription glasses, to wear something on my eyes for a prolonged period was quite challenging due to lack of adaptation.","Commute in the uban. since mostly people are sitting Infront of eachother, they get paranoid about me recording them. so far nobody explicitly called me out, only 2 or 3 people asked out of curiosity, but I realized that people must be thinking that way.",I tried limiting my daily commute.i for example went to the gym only once last week because I was concerned about people assuming that I'm violating privacy at the gym. or I shifted to working mostly from home. or ask my boyfriend to accompany me for groceries so that I feel comfortable.  Also like I said earlier the glasses would get blurry so I'd lift it often.,"if I recall correctly, 2-3 people asked me out of curiosity what I was wearing. there first question always was ""is this a camera?"". they'd sound concerned at first but when I'd tell them it's for light exposure recording, they'd ask more questions out of curiosity and appreciate the effort.","I think the sensor around neck is feasible design wise.   if you want to resume doing it on eye level, then maybe attach the light logger to a headband with velcro or a cap. this adjustment could atleast remove the discomfort of wearing glasses.",NA
TUM_S003,At first it was really uncomfortable but then I kinda got used to it. It was also uncomfortable due to my high temperature; my glasses periodically fogged up.,It was a bit painful at first because the glasses were quite heavy for me. But then I got used to it. It was also a bit weird to get those strange looks because people thought I was filming them.,"When I was on my way somewhere, it wasn't really comfortable because they're not really my size.",I was trying to stay calm and ignore unpleasant things.,I guess in all public places.,"I guess you could have a smaller size, and it could also be a bit lighter.",NA,FALSE,At first it was really uncomfortable but then I kinda got used to it . It was also uncomfortable due to my high temperature; my glasses periodically fogged up.,It was a bit painful at first because the glasses were quite heavy for me. But then I got used to it. It was also a bit weird to get those strange looks because people thought I was filming them,"When I was on my way somewhere, it wasn't really comfortable because they're not really my size.",I was trying to stay calm and ignore unpleasant things.,I guess in all public places.,"I guess you could have a smaller size, and it could also be bit a bit lighter.",NA
TUM_S004,It was little bit uncomfortable,"When I went out, some people stared at me. I just ignored them.",When glasses became heavy or my vision became blurred because of them.,I did nothing. I just got into the habit of pushing the glasses up.,Some people directly asked me about the glasses. They wanted to know what they are for and do they are a camera.,It would be better and more convenient if the sensor is much more smaller,NA,FALSE,It was little bit uncomfortable,"When I went out, some people stared at me.  I just ignored them.",When glasses became heavy or my vision became blurred because of them,I did nothing. I just got into the habit of pushing the glasses up.,Some people directly asked me about the glasses. They wanted to know what they are for and do they are a camera.,It would be better and more convenient if the sensor is much more smaller,NA
TUM_S005,A bit uncomfortable since I'm not maybe used to wearing glasses,A lot of people staring and asking me questions if I'm recording them or not,Work space and public transport,Had to explain what the glasses are for everytime someone felt uncomfortable seeing me wear them,"Yes, work place, friends, and public transport.","Yes, work place, friends, and public transport.","Yes, work place, friends, and public transport.",FALSE,A bit uncomfortable since I'm not maybe used to wearing glasses,A lot of people staring and asking me questions if I'm recording them or not,Work space and public transport,Had to explain what the glasses are for everytime someone felt uncomfortable seeing me wear them,"Yes, work place, friends, and public transport.",I think a smaller sensor that could maybe stick to your temples or something similar,NA
TUM_S006,"Generally speaking, it was ok","On Wednesday, the glasses really bugged me and I could not wait for the study to end. Over the days I got more comfortable with them, but constantly having something on my face and not being able to remove it (unlike sunglasses) was really unusual for me.",Being outside and during exercising.,"Not much. I didn't wear sunglasses, but was still fulfilling my obligations, e.g., going to work or to the university.","Many, often the first time with my fellow students or colleagues, or when alone in front of the cashier. But all were positive and sparked curiosity in the study and the research.",Make it smaller / try to omit the glasses.,NA,FALSE,"Generally speaking, it was ok","In Wednesday, the glasses really bugged me and I could not wait for the study to end. Over the days I got more comfortable to them, but constantly having something in the face and not being able to remove it (unlike sunglasses) was really unusual for me",Being outside and during exercising,"Not much. I didn't wear sunglasses, but was still fulfilling my obligations, e.g., going to work or to the university","Many, often the first time with my fellow students resp. colleagues, or at the lone in front of the cashier. But all were positive und sparked curiosity in the study and the research",Make it smaller / try do omit the glasses,NA
TUM_S007,"A bit uncomfortable initially, but after a couple of days it was fine.","Just that I believe the quality of the glass used in the glasses could be better. Like, it could have been more clear.",No Impact as such,Had to get used to wearing glasses as I am not used to wearing one. But then it becomes normal/usual after a couple of days,Yes.,"Initially it is a bit uncomfortable for someone who is not used to wearing glasses. So, may be the part that is around the nose could be more soft by using some soft paddings.  And may be to have a sensor mounted on soft band that we can wear around our heads. I believe it would be more comfortable to wear a band, with a sensor mounted on it, around our heads.",NA,FALSE,"A bit uncomfortable initially, but after a couple of days it was fine.","Just that I believe the quality of the glass used in the glasses could be better. Like, it could have been more clear.",No Impact as such,Had to get used to wearing glasses as I am not used to wearing one. But then it becomes normal/usual after a couple of days,Yes.,"Initially it is a bit uncomfortable for someone who is not used to wearing glasses. So, may be the part that is around the nose could be more soft by using some soft paddings.  And may be to have a sensor mounted on soft band that we can wear around our heads. I believe it would be more comfortable to wear a band, with a sensor mounted on it, around our heads.",NA
TUM_S008,weird and intrigued,"Nothing specific, just wearing them for longer strained my eyes so I washed with cold water.",While working from home.,I had to endure it. Initially it was difficult but I had to survive. During rush hours when I was on the train I removed it.,"Yes, with friends and WG mates they were curious to know. People only stared and didn't ask.","The smaller the sensor and the easier it is to show it without making it look hideous, the better.",NA,FALSE,weird and intrigued,nothing specific just wearing them for longer strain my eyes so I wash with cold water,working from home,I had to endure it. initially it was difficult but I have to survive.    in rush hours when I was in train I removed it,"yes, with friends and wg mates they were curious to know.     People only stare and didn't ask",the smaller the sensor and the more easier to show it without making it hideous would make it more good,NA
TUM_S009,It was overall a fun experience and I got to positively interact with some strangers because of their interest in the glasses.,"They were a little ""front-heavy"" meaning they would slide down my nose while wearing them, which was a little uncomfortable. And I also couldn't wear sunglasses while outside which made my eyes strain since they are quite sensitive to daylight.",While studying they would cause me some discomfort.,I would say I got the habit of readjusting them but other than that nothing.,Yes. Some strangers in public. A lot of my friends also asked about them too.,I would've personally liked it more if the glasses were like a diadem so that I wouldn't have to worry about them slipping all the time.,NA,TRUE,It was overall a fun experience and I got to positively interact with some strangers because of their interest in the glasses.,"They were a little ""front-heavy"" meaning they would slide down my nose while wearing them, which was a little uncomfortable. And I also couldn't wear sunglasses while outside which made my eyes strain since they are quite sensitive to daylight.",While studying they would cause me some discomfort.,I would say I got the habit of readjusting them but other than that nothing.,Yes. Some strangers in public. A lot of my friends also asked about them too.,I would've personally liked it more if the glasses were like a diadem so that I wouldn't have to worry about them slipping all the time.,NA
TUM_S010,"Since I don't usually wear glasses, I feel a little heavy when I wear them. When I wear them for more than an hour, I have to take them off and take a short break.","A little heavy, and the lenses are a little blurred. Take it down briefly and rest my eyes.",In the supermarket.,"When at the supermarket, briefly take it off and hang it on my clothes.",Yes. They were curious about what kind of experiment it was about.,Would it be better to put a strap on head as opposed to glasses. Plus watches and necklaces feel more convenient.,NA,FALSE,"Since I don't usually wear glasses, I feel a little heavy when I wear them. When I wear them for more than an hour, I have to take them off and take a short break.","A little heavy, and the lenses are a little blurred.    Take it down briefly and rest my eyes",In the supermarket,"When at the supermarket , briefly take it off and hang it on my clothes.",Yes. They were curious about what kind of experiment it was about.,Would it be better to put a strap on head as opposed to glasses. Plus watches and necklaces feel more convenient.,NA
