record_id,type,type_english
TUM_S001,A short walk in the park,A short walk in the park
TUM_S001,Walk through a park,Walk through a park
TUM_S001,NA,NA
TUM_S101,Weight training,Weight training
TUM_S101,Basketball and weight training,Basketball and weight training
TUM_S101,NA,NA
TUM_S101,Running,Running
TUM_S002,I just walked 2-4 km,Walking (2-4 km)
TUM_S002,walking,walking
TUM_S002,resistance training,resistance training
TUM_S002,I walked a little,I walked a little
TUM_S002,I played a few shots of basketball and walked around,Played basketball and walked around
TUM_S003,NA,NA
TUM_S003,Yoga,Yoga
TUM_S004,I tooked a walk in more than one hours,I took a walk for more than one hour
TUM_S004,NA,NA
TUM_S004,walking,walking
TUM_S004,wallking,walking
TUM_S005,NA,NA
TUM_S005,Walking,Walking
TUM_S005,gym,gym
TUM_S005,walking,walking
TUM_S006,Commuting to the university by bike,Commuting to the university by bike
TUM_S006,commuting to the university by bike,commuting to the university by bike
TUM_S006,"commuting to the university by bike, participating in a dance class","commuting to the university by bike, participating in a dance class"
TUM_S006,"cycling to the sports campus, swimming","cycling to the sports campus, swimming"
TUM_S006,"riding to the university by bike, strength workout indoors","cycling to the university, indoor strength workout"
TUM_S006,"riding my bike, workout routine indoors","riding my bike, workout routine indoors"
TUM_S006,indoor workout,indoor workout
TUM_S007,walk in the park,walk in the park
TUM_S007,NA,NA
TUM_S008,NA,NA
TUM_S008,full Body strength and cardio workout,Full body strength and cardio workout
TUM_S008,walk,walk
TUM_S008,cardio and full body strength,cardio and full body strength
TUM_S008,walking,walking
TUM_S008,shifting friend,shifting friend
TUM_S009,walk in the city,walk in the city
TUM_S009,NA,NA
TUM_S009,walk outside,walk outside
TUM_S009,walking,walking
TUM_S009,walk + run,walk + run
TUM_S010,cycling,cycling
TUM_S010,tennis,tennis
TUM_S010,walking in the garden,walking in the garden
TUM_S010,NA,NA
TUM_S010,yoga,yoga
