record_id,Datetime,loc_spec,descr,identity_spec,future_use,loc_spec_english,descr_english,identity_spec_english,future_use_english
TUM_S001,2024-05-15T12:30:00Z,NA,"During work hrs, everyone asking what it was and what it does.",NA,"It won't for me personally, but the light glasses are a bit too obvious, and i believe there should be a more subtle alternative",NA,"During work hours, everyone was asking what it was and what it does.",NA,"It won't for me personally, but the light glasses are a bit too obvious, and I believe there should be a more subtle alternative."
TUM_S002,2024-05-27T14:50:00Z,NA,I was taking an uban home and a couple of the train was observing me curiosly. made me slightly uncomfortable.,NA,I'd refrain from wearing glasses but wear the neck light logger instead.,NA,I was taking an urban train home and a couple in the train was observing me curiously. It made me slightly uncomfortable.,NA,I'd refrain from wearing the glasses but wear the neck light logger instead.
TUM_S002,2024-05-30T10:37:00Z,NA,a girl asked me out of curiosity whether I'm wearing a camera. we had a discussion about what it was.,NA,I would still prefer having something less prominent because people still stare and it makes me uncomfortable.,NA,"A girl asked me, out of curiosity, whether I'm wearing a camera. We had a discussion about what it was.",NA,I would still prefer having something less prominent because people still stare and it makes me uncomfortable.
TUM_S002,2024-05-31T16:00:00Z,NA,a man asked me whether I was wearing a camera. this took place in a queue at Lidl. so I explained to him that it's for light exposure recording. he was intrigued.,NA,"I think if people are curious about the sensors, then it positively affects motivated to wear the light glasses. but I'd rather have another adjustment of light logger than glasses because people still stare and it's uncomfortable",NA,A man asked me whether I was wearing a camera. This took place in a queue at Lidl. So I explained to him that it's for light exposure recording. He was intrigued.,NA,"I think if people are curious about the sensors, then it positively affects my motivation to wear the light glasses. But I'd rather have another adjustment of the light logger than glasses, because people still stare and it's uncomfortable."
TUM_S003,2024-06-05T12:00:00Z,NA,"People looked at me disapprovingly, a little judgmental.",NA,"I felt myself very uncomfortable, as if I was invading someone else's personal space, because people probably thought I was filming them. I am not sure that it will influence my future use, as I can't avoid reactions like this.",NA,"People looked at me disapprovingly, a little judgmental.",NA,"I felt myself very uncomfortable, as if I was invading someone else's personal space, because people probably thought I was filming them. I am not sure that it will influence my future use, as I can't avoid reactions like this."
TUM_S003,2024-06-07T09:25:00Z,NA,A man on the bus asked what kind of glasses these were and if I was filming him. He was very friendly and genuinely interested in listening.,NA,It won't influence it.,NA,A man on the bus asked what kind of glasses these were and if I was filming him. He was very friendly and genuinely interested in listening.,NA,It won't influence it.
TUM_S003,2024-06-07T13:40:00Z,NA,"My neighbour asked me to tell him more about the research, wondering what kind of glasses they were.",NA,"It was a positive experience, so it won't influence the future use of the light glasses.",NA,"My neighbour asked me to tell him more about the research, wondering what kind of glasses they were.",NA,"It was a positive experience, so it won't influence the future use of the light glasses."
TUM_S004,2024-06-10T10:30:00Z,NA,"I was walking on the street and someone thought that I was recording and he showed ""V"" sign with finger like taking a picture. It was a bit awkward.",NA,N/A,NA,I was walking on the street and someone thought that I was recording and he showed a 'V' sign with his fingers like taking a picture. It was a bit awkward.,NA,NA
TUM_S004,2024-06-10T12:30:00Z,NA,I was in a Café. The Barista asked me what is the device for. It was Okay.,NA,I think I should prepare a good explanation of device for others.,NA,I was in a café. The barista asked me what the device is for. It was okay.,NA,I think I should prepare a good explanation of the device for others.
TUM_S004,2024-06-10T19:40:00Z,NA,I was taking the subway and people often stared at me.,NA,I think it would be better if it is a simpler device.,NA,I was taking the subway and people often stared at me.,NA,I think it would be better if it is a simpler device.
TUM_S004,2024-06-12T14:30:00Z,NA,I was on the subway and a man kept staring at me.,NA,n.a,NA,I was on the subway and a man kept staring at me.,NA,NA
TUM_S004,2024-06-13T16:55:00Z,NA,I was in Biergarten and a friendly cashier asked me whether i was recording or not.,NA,na,NA,I was in a Biergarten and a friendly cashier asked me whether I was recording or not.,NA,NA
TUM_S004,2024-06-13T20:21:00Z,NA,someone came to me and curios about the device.,NA,na,NA,Someone came to me and was curious about the device.,NA,NA
TUM_S005,2024-06-17T16:15:00Z,NA,People kept staring! Felt very uncomfortable,NA,"Probably would prefer something that doesn't hinder your daily life, somewhere hidden sensors",NA,People kept staring! Felt very uncomfortable.,NA,"Probably would prefer something that doesn't hinder your daily life, like sensors that are hidden somewhere."
TUM_S005,2024-06-18T07:18:00Z,NA,"Colleague asked me what it was about, and said that it looks like you're recording, people won't appreciate it in public",NA,"It probably won't, but I willl be a little cautious",NA,"A colleague asked me about the glasses, mentioning that it looks like I'm recording, and said people might not appreciate them in public.",NA,"It probably won't influence my use, but I will be a little more cautious."
