record_id,wearlog_place,wearlog_place_english
TUM_S001,NA,NA
TUM_S001,On a shelf in the room,On a shelf in the room
TUM_S001,Bag Pocket,Bag Pocket
TUM_S001,Bag pack,Backpack
TUM_S001,Gym locker,Gym locker
TUM_S001,Backpack,Backpack
TUM_S001,Locker,Locker
TUM_S001,Book shelf,Book shelf
TUM_S002,NA,NA
TUM_S002,bedside table,bedside table
TUM_S002,I put them facing down on the tenis table.,I put them facing down on the tennis table.
TUM_S003,NA,NA
TUM_S003,on a table,on a table
TUM_S004,NA,NA
TUM_S005,NA,NA
TUM_S006,NA,NA
TUM_S007,NA,NA
TUM_S008,drawer,drawer
TUM_S008,NA,NA
TUM_S008,on the table because I am going to sleep,on the table because I am going to sleep
TUM_S009,NA,NA
TUM_S009,in my bag,in my bag
TUM_S010,NA,NA
TUM_S010,on the table,on the table
TUM_S010,in the tabke,on the table
